# energy grid [eV]     JDOS [1/eV]
#
    5.270541082    0.021143898
    5.290581162    0.021311133
    5.310621242    0.021403160
    5.330661323    0.021417462
    5.350701403    0.021355884
    5.370741483    0.021225002
    5.390781563    0.021035979
    5.410821643    0.020803867
    5.430861723    0.020546393
    5.450901804    0.020282439
    5.470941884    0.020030447
    5.490981964    0.019807004
    5.511022044    0.019625761
    5.531062124    0.019496765
    5.551102204    0.019426176
    5.571142285    0.019416282
    5.591182365    0.019465725
    5.611222445    0.019569844
    5.631262525    0.019721057
    5.651302605    0.019909228
    5.671342685    0.020121993
    5.691382766    0.020345112
    5.711422846    0.020562968
    5.731462926    0.020759403
    5.751503006    0.020919050
    5.771543086    0.021029168
    5.791583166    0.021081799
    5.811623246    0.021075750
    5.831663327    0.021017812
    5.851703407    0.020922617
    5.871743487    0.020810771
    5.891783567    0.020705384
    5.911823647    0.020627554
    5.931863727    0.020591803
    5.951903808    0.020602584
    5.971943888    0.020652822
    5.991983968    0.020725001
    6.012024048    0.020794663
    6.032064128    0.020835603
    6.052104208    0.020825555
    6.072144289    0.020751101
    6.092184369    0.020610692
    6.112224449    0.020415178
    6.132264529    0.020185857
    6.152304609    0.019950600
    6.172344689    0.019739027
    6.192384770    0.019577782
    6.212424850    0.019486826
    6.232464930    0.019477289
    6.252505010    0.019550999
    6.272545090    0.019701418
    6.292585170    0.019915444
    6.312625251    0.020175506
    6.332665331    0.020461438
    6.352705411    0.020751857
    6.372745491    0.021024986
    6.392785571    0.021259123
    6.412825651    0.021433049
    6.432865731    0.021526718
    6.452905812    0.021522462
    6.472945892    0.021406738
    6.492985972    0.021172220
    6.513026052    0.020819792
    6.533066132    0.020359889
    6.553106212    0.019812643
    6.573146293    0.019206500
    6.593186373    0.018575304
    6.613226453    0.017954226
    6.633266533    0.017375286
    6.653306613    0.016863351
    6.673346693    0.016433478
    6.693386774    0.016090135
    6.713426854    0.015828443
    6.733466934    0.015637043
    6.753507014    0.015501854
    6.773547094    0.015409802
    6.793587174    0.015351690
    6.813627255    0.015323684
    6.833667335    0.015327278
    6.853707415    0.015367996
    6.873747495    0.015453318
    6.893787575    0.015590406
    6.913827655    0.015784108
    6.933867735    0.016035527
    6.953907816    0.016341288
    6.973947896    0.016693434
    6.993987976    0.017079893
    7.014028056    0.017485392
    7.034068136    0.017892756
    7.054108216    0.018284470
    7.074148297    0.018644373
    7.094188377    0.018959239
    7.114228457    0.019219968
    7.134268537    0.019422112
    7.154308617    0.019565580
    7.174348697    0.019653578
    7.194388778    0.019691056
    7.214428858    0.019683131
    7.234468938    0.019634003
    7.254509018    0.019546759
    7.274549098    0.019424187
    7.294589178    0.019270399
    7.314629259    0.019092711
    7.334669339    0.018903097
    7.354709419    0.018718555
    7.374749499    0.018559978
    7.394789579    0.018449552
    7.414829659    0.018407125
    7.434869739    0.018446368
    7.454909820    0.018571654
    7.474949900    0.018776500
    7.494989980    0.019044041
    7.515030060    0.019349539
    7.535070140    0.019664399
    7.555110220    0.019960866
    7.575150301    0.020216374
    7.595190381    0.020416675
    7.615230461    0.020557184
    7.635270541    0.020642389
    7.655310621    0.020683599
    7.675350701    0.020695669
    7.695390782    0.020693458
    7.715430862    0.020688819
    7.735470942    0.020688717
    7.755511022    0.020694804
    7.775551102    0.020704419
    7.795591182    0.020712651
    7.815631263    0.020714865
    7.835671343    0.020708981
    7.855711423    0.020696906
    7.875751503    0.020684704
    7.895791583    0.020681507
    7.915831663    0.020697478
    7.935871743    0.020741449
    7.955911824    0.020818962
    7.975951904    0.020931343
    7.995991984    0.021076134
    8.016032064    0.021248823
    8.036072144    0.021445374
    8.056112224    0.021664776
    8.076152305    0.021910751
    8.096192385    0.022191927
    8.116232465    0.022520182
    8.136272545    0.022907401
    8.156312625    0.023361349
    8.176352705    0.023881764
    8.196392786    0.024457786
    8.216432866    0.025067642
    8.236472946    0.025680972
    8.256513026    0.026263519
    8.276553106    0.026783268
    8.296593186    0.027216629
    8.316633267    0.027553170
    8.336673347    0.027797618
    8.356713427    0.027968516
    8.376753507    0.028093688
    8.396793587    0.028203564
    8.416833667    0.028323943
    8.436873747    0.028470021
    8.456913828    0.028643176
    8.476953908    0.028831293
    8.496993988    0.029012462
    8.517034068    0.029160964
    8.537074148    0.029253871
    8.557114228    0.029276461
    8.577154309    0.029225052
    8.597194389    0.029106668
    8.617234469    0.028935864
    8.637274549    0.028729853
    8.657314629    0.028503491
    8.677354709    0.028265622
    8.697394790    0.028017785
    8.717434870    0.027755537
    8.737474950    0.027471848
    8.757515030    0.027161484
    8.777555110    0.026825025
    8.797595190    0.026471395
    8.817635271    0.026118187
    8.837675351    0.025789731
    8.857715431    0.025513351
    8.877755511    0.025314688
    8.897795591    0.025213035
    8.917835671    0.025217534
    8.937875752    0.025324838
    8.957915832    0.025518512
    8.977955912    0.025770190
    8.997995992    0.026042319
    9.018036072    0.026292146
    9.038076152    0.026476541
    9.058116232    0.026557085
    9.078156313    0.026504801
    9.098196393    0.026303836
    9.118236473    0.025953516
    9.138276553    0.025468381
    9.158316633    0.024876201
    9.178356713    0.024214316
    9.198396794    0.023525014
    9.218436874    0.022850793
    9.238476954    0.022230302
    9.258517034    0.021695473
    9.278557114    0.021270026
    9.298597194    0.020969149
    9.318637275    0.020799951
    9.338677355    0.020762272
    9.358717435    0.020849525
    9.378757515    0.021049473
    9.398797595    0.021345009
    9.418837675    0.021715102
    9.438877756    0.022136039
    9.458917836    0.022582991
