# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    2.825651303    2.823698361    2.823698359    2.126735440
    2.845691383    2.814671420    2.814671418    2.123339649
    2.865731463    2.805689167    2.805689166    2.119945500
    2.885771543    2.796751696    2.796751695    2.116553185
    2.905811623    2.787859088    2.787859086    2.113162891
    2.925851703    2.779011411    2.779011410    2.109774804
    2.945891784    2.770208724    2.770208722    2.106389103
    2.965931864    2.761451071    2.761451069    2.103005966
    2.985971944    2.752738489    2.752738487    2.099625568
    3.006012024    2.744071003    2.744071001    2.096248079
    3.026052104    2.735448627    2.735448625    2.092873667
    3.046092184    2.726871366    2.726871365    2.089502496
    3.066132265    2.718339217    2.718339215    2.086134729
    3.086172345    2.709852166    2.709852164    2.082770521
    3.106212425    2.701410189    2.701410188    2.079410030
    3.126252505    2.693013258    2.693013257    2.076053406
    3.146292585    2.684661332    2.684661331    2.072700798
    3.166332665    2.676354365    2.676354364    2.069352352
    3.186372745    2.668092302    2.668092300    2.066008212
    3.206412826    2.659875080    2.659875079    2.062668516
    3.226452906    2.651702632    2.651702630    2.059333403
    3.246492986    2.643574880    2.643574879    2.056003005
    3.266533066    2.635491742    2.635491741    2.052677456
    3.286573146    2.627453130    2.627453129    2.049356882
    3.306613226    2.619458948    2.619458947    2.046041410
    3.326653307    2.611509096    2.611509095    2.042731164
    3.346693387    2.603603466    2.603603465    2.039426263
    3.366733467    2.595741947    2.595741945    2.036126825
    3.386773547    2.587924421    2.587924420    2.032832967
    3.406813627    2.580150766    2.580150765    2.029544799
    3.426853707    2.572420855    2.572420854    2.026262433
    3.446893788    2.564734556    2.564734555    2.022985976
    3.466933868    2.557091733    2.557091732    2.019715533
    3.486973948    2.549492246    2.549492245    2.016451207
    3.507014028    2.541935950    2.541935949    2.013193098
    3.527054108    2.534422697    2.534422696    2.009941305
    3.547094188    2.526952334    2.526952333    2.006695922
    3.567134269    2.519524707    2.519524705    2.003457044
    3.587174349    2.512139655    2.512139654    2.000224761
    3.607214429    2.504797017    2.504797016    1.996999162
